HOG	OG	Gene Tree Parent Clade	acastellanii_braker	bc2001_braker	bc2002_braker	dicty_braker	vvermcdc19_braker
N3.HOG0000000	OG0000000	n1		bc2001_g16043.t1	bc2002_g19272.t1		
N3.HOG0000001	OG0000000	n12		bc2001_g13992.t1	bc2002_g10904.t1		
N3.HOG0000002	OG0000000	n13		bc2001_g1086.t1	bc2002_g11778.t1		
N3.HOG0000003	OG0000000	n14		bc2001_g15202.t1	bc2002_g4245.t1		
N3.HOG0000004	OG0000000	n15		bc2001_g4233.t1	bc2002_g10904.t2, bc2002_g2696.t1		
N3.HOG0000005	OG0000000	n17		bc2001_g8563.t1	bc2002_g17115.t1		
N3.HOG0000006	OG0000000	n28		bc2001_g6208.t1	bc2002_g12958.t1		
N3.HOG0000007	OG0000000	n29		bc2001_g13369.t1	bc2002_g15436.t1		
N3.HOG0000008	OG0000000	n36		bc2001_g3261.t1	bc2002_g12739.t1		
N3.HOG0000009	OG0000000	n37		bc2001_g3379.t1	bc2002_g7150.t1		
N3.HOG0000010	OG0000000	n38		bc2001_g16010.t1	bc2002_g448.t1		
N3.HOG0000011	OG0000000	n39		bc2001_g11038.t1	bc2002_g5235.t1		
N3.HOG0000012	OG0000000	n40		bc2001_g12070.t1	bc2002_g2453.t1		
N3.HOG0000013	OG0000000	n41		bc2001_g10775.t1	bc2002_g9337.t1		
N3.HOG0000014	OG0000000	n42		bc2001_g7848.t1	bc2002_g11935.t1		
N3.HOG0000015	OG0000000	n45		bc2001_g7485.t1	bc2002_g13920.t1		
N3.HOG0000016	OG0000000	n46		bc2001_g12973.t1	bc2002_g7677.t1		
N3.HOG0000017	OG0000000	n48		bc2001_g7605.t1	bc2002_g14048.t1		
N3.HOG0000018	OG0000000	n50		bc2001_g18159.t1	bc2002_g15851.t1		
N3.HOG0000019	OG0000000	n57		bc2001_g18895.t1	bc2002_g3809.t1		
N3.HOG0000020	OG0000000	n58		bc2001_g13384.t1	bc2002_g15351.t1		
N3.HOG0000021	OG0000000	n59		bc2001_g5935.t1	bc2002_g1104.t1		
N3.HOG0000022	OG0000000	n62		bc2001_g11466.t1	bc2002_g12613.t1		
N3.HOG0000023	OG0000000	n63		bc2001_g5722.t1	bc2002_g10733.t1		
N3.HOG0000024	OG0000000	n67		bc2001_g14506.t1	bc2002_g5048.t1		
N3.HOG0000025	OG0000000	n68		bc2001_g7313.t1	bc2002_g19897.t1		
N3.HOG0000026	OG0000000	n69		bc2001_g8199.t1	bc2002_g278.t1		
N3.HOG0000027	OG0000000	n80		bc2001_g36.t1, bc2001_g15076.t1, bc2001_g6899.t1	bc2002_g8856.t1		
N3.HOG0000028	OG0000000	n83		bc2001_g6887.t1	bc2002_g19017.t1		
N3.HOG0000029	OG0000000	n84		bc2001_g18701.t1	bc2002_g1742.t1		
N3.HOG0000030	OG0000000	n85		bc2001_g19342.t1, bc2001_g17727.t1, bc2001_g1.t1	bc2002_g13413.t1, bc2002_g8893.t1		
N3.HOG0000031	OG0000000	n89		bc2001_g1705.t1	bc2002_g3186.t1		
N3.HOG0000032	OG0000000	n91		bc2001_g18923.t1	bc2002_g3838.t1		
N3.HOG0000033	OG0000000	n95		bc2001_g8588.t1	bc2002_g17143.t1		
N3.HOG0000034	OG0000000	n96		bc2001_g12096.t1	bc2002_g12272.t1		
N3.HOG0000035	OG0000000	n97		bc2001_g13155.t1	bc2002_g19597.t1		
N3.HOG0000036	OG0000000	n100		bc2001_g1811.t1	bc2002_g3995.t1		
N3.HOG0000037	OG0000000	n101		bc2001_g4161.t1	bc2002_g18008.t1		
N3.HOG0000038	OG0000000	n107		bc2001_g18363.t1	bc2002_g16061.t1		
N3.HOG0000039	OG0000000	n108		bc2001_g3030.t1	bc2002_g11803.t1		
N3.HOG0000040	OG0000000	n109		bc2001_g5352.t1, bc2001_g755.t1, bc2001_g258.t1	bc2002_g4107.t1, bc2002_g14338.t1, bc2002_g6885.t1		
N3.HOG0000041	OG0000000	n114		bc2001_g2879.t1	bc2002_g11529.t1		
N3.HOG0000042	OG0000000	n120		bc2001_g12863.t1	bc2002_g8239.t1, bc2002_g16922.t1		
N3.HOG0000043	OG0000000	n122		bc2001_g10111.t1	bc2002_g2925.t1		
N3.HOG0000044	OG0000000	n123		bc2001_g14232.t1	bc2002_g18367.t1		
N3.HOG0000045	OG0000000	n126		bc2001_g12733.t1	bc2002_g15318.t1		
N3.HOG0000046	OG0000000	n127		bc2001_g1608.t1	bc2002_g15338.t1		
N3.HOG0000047	OG0000000	n134		bc2001_g10338.t1	bc2002_g15819.t1		
N3.HOG0000048	OG0000000	n137		bc2001_g10180.t1	bc2002_g16850.t1		
N3.HOG0000049	OG0000000	n138		bc2001_g19409.t1	bc2002_g2808.t1		
N3.HOG0000050	OG0000000	n139		bc2001_g3340.t1, bc2001_g19307.t1	bc2002_g1244.t1		
N3.HOG0000051	OG0000000	n143		bc2001_g18291.t1	bc2002_g15985.t1		
