Geneid,KO_ID
g1,
g2,K15498
g3,K14834
g4,K03637
g5,
g6,K01869
g7,K03178
g7,K03178
g8,
g8,
g9,
g10,
g11,
g12,
g13,
g14,
g15,
g16,
g17,
g18,
g19,
g20,
g21,
g22,
g23,
g24,
g25,
g26,
g27,
g28,
g29,
g30,
g31,
g32,K18081
g33,
g34,
g35,
g36,K01464
g36,K01464
g37,
g38,
g39,
g40,
g41,
g42,
g43,
g43,
g44,
g45,
g46,K03178
g46,K03178
g46,K03178
g47,
g48,
g49,
g50,
g51,K14286
g52,
g53,
g54,K25166
g55,
g56,
g57,K11592
g58,
g59,
g60,
g61,
g62,
g62,
g63,
g64,
g65,
g66,
g67,
g68,
g69,
g70,
g71,
g72,
g73,
g74,
g75,
g76,
g77,K09493
g78,
g79,
g80,K03242
g81,
g82,
g82,
g82,
g83,
g83,
g84,
g84,
g84,
g85,K07511
g86,K07904
g87,
g88,
g89,K20689
g90,
g91,K12845
g91,K12845
g92,
g93,K25730
g94,
g95,K03660
g96,
g97,K21766
g98,K11490
g99,K17778
g100,
g101,
g102,K03083
g103,
g104,
g105,K25079
g106,
g107,
g108,K17778
g109,
g110,
g111,
g112,
g113,
g114,
g115,
g116,
g117,
g118,
g119,
g120,K00671
g121,K02995
g122,K02922
g123,
g124,
g125,K01412
g126,K17700
g127,K08869
g128,K17498
g129,K07942
g130,
g131,
g132,
g133,
g134,
g135,
g136,
g137,
g138,
g139,
g140,
g141,
g142,
g143,
g144,
g144,
g145,K23564
g145,K23564
g146,K02937
g146,K02937
g147,K00102
g148,
g149,K08656
g150,
g150,
g151,
g152,
g153,
g154,
g155,
g156,
g157,
g158,
g159,
g160,
g161,
g162,
g163,
g164,
g165,
g166,
g167,
g168,
g169,
g170,
g171,
g172,
g173,
g174,
g175,
g176,
g177,
g178,K02736
g179,
g180,K08796
g181,
g182,
g183,
g184,K20776
g185,
g186,K06693
g187,
g188,
g189,
g190,
g191,
g192,
g193,
g194,
g195,
g196,
g197,
g198,
g199,K14833
g200,K03671
g201,K19027
g202,
g203,K26979
g204,K02183
g205,
g206,K10865
g207,K20793
g208,K01519
g209,K00477
g210,
g211,
g212,
g213,
g213,
g214,
g215,
g216,
g217,K14318
g218,K13431
g219,
g219,
g220,
g221,K14550
g222,
g223,K26404
g223,K26404
g224,K09486
g224,
g225,K27922
g226,K14861
g227,K10599
g227,K10599
g228,K08336
g229,K26496
g230,
g231,
g232,
g233,
g234,
g235,
g236,K06170
g237,
g238,K27411
g239,
g240,
g241,K14567
g242,K16449
g243,
g244,K02969
g245,K10867
g246,K05544
g247,K27398
g248,K10866
g249,K03521
g250,K17260
g251,K04505
g251,
g251,K04505
g252,
g253,
g254,
g255,
g256,
g257,
g258,
g259,
g260,
g261,
g262,
g263,
g264,
g265,
g266,
g267,
g268,K04366
g269,K11205
g270,K00922
g270,K00922
g271,
g272,
g273,
g274,
g275,
g276,
g277,
g278,
g279,
g280,
g281,
g282,
g283,
g284,
g285,K02156
g286,K02178
g287,
g288,
g289,K01869
g290,
g291,K11165
g292,
g293,
g294,
g295,
g296,
g297,
g298,
g299,
g300,
g301,
g302,
g303,
g304,
g305,
g306,
g307,
g308,
g309,K00731
g310,
g311,
g312,
g313,
g314,
g315,
g316,
g317,
g318,
g319,
g320,
g321,
g322,
g323,K04427
g324,
g325,
g326,
g327,
g328,
g329,K17778
g330,K02156
g331,
g332,
g333,
g334,
g335,
g336,
g337,
g338,
g339,
g340,
g341,
g342,
g343,
g344,K02178
g345,
g346,
g347,
g348,
g349,
g350,
g351,
g352,
g353,
g354,
g355,
g356,
g357,
g358,
g359,
g360,
g361,
g362,K01922
g362,
g363,
g364,
g365,
g366,
g367,
g368,
g369,
g370,
g371,
g372,
g373,
g374,
g375,
g376,
g377,
g378,
g379,
g380,
g381,
g382,
g383,
g384,
g385,
g386,
g387,
g388,
g389,
g390,
g391,
g392,
g393,
g394,
g395,
g396,
g397,
g398,
g399,K01800
g399,K01800
g399,K02895
g400,
g401,
g401,
g402,K08887
g403,K00232
g404,K20703
g405,
g406,
g407,K22503
g408,
g409,
g410,
g411,K02882
g411,K02882
g412,
g412,
g413,K10046
g414,
g415,
g416,
g417,
g418,
g419,
g420,
g421,
g422,
g423,
g424,
g425,
g426,
g427,
g428,
g429,K06689
g430,K01373
g431,K19882
g432,K09572
g433,
g434,
g434,
g435,K06133
g436,
g437,
g438,K13963
g439,
g440,
g441,
g442,
g443,
g444,
g445,
g446,
g447,
g448,
g449,
g450,K14862
g451,
g452,K15455
g453,
g454,K13754
g455,
g456,K06874
g457,K20093
g458,
g459,
g460,
g461,
g462,
g463,K12623
