Orthogroup	bc2001_braker	vvermcdc19_braker
OG0000001	bc2001_g9852.t1	vverm_g10611.t1
OG0000001	bc2001_g4259.t1	vverm_g2213.t2, vverm_g2213.t1, vverm_g3070.t1, vverm_g3070.t2
OG0000001	bc2001_g2943.t2, bc2001_g2943.t1, bc2001_g3626.t1, bc2001_g3626.t2, bc2001_g5150.t1, bc2001_g5146.t1, bc2001_g644.t1, bc2001_g15028.t1, bc2001_g6151.t1, bc2001_g3294.t1, bc2001_g6476.t1, bc2001_g11238.t1, bc2001_g13252.t1, bc2001_g9420.t1, bc2001_g7492.t1, bc2001_g5789.t2, bc2001_g5789.t1, bc2001_g18980.t1, bc2001_g19407.t1, bc2001_g19407.t2, bc2001_g1700.t1, bc2001_g5670.t1, bc2001_g5992.t1, bc2001_g11028.t1, bc2001_g17654.t1, bc2001_g17737.t1, bc2001_g10597.t1, bc2001_g6026.t2, bc2001_g16346.t1, bc2001_g13068.t1, bc2001_g5100.t1, bc2001_g4973.t1, bc2001_g10657.t1, bc2001_g10569.t1, bc2001_g4958.t1, bc2001_g9238.t1, bc2001_g10134.t2, bc2001_g8326.t1, bc2001_g1908.t1, bc2001_g8837.t1, bc2001_g8522.t1	vverm_g1505.t3
OG0000001	bc2001_g543.t2, bc2001_g5675.t1, bc2001_g19682.t1, bc2001_g19682.t2, bc2001_g19539.t1, bc2001_g19539.t2, bc2001_g10665.t1, bc2001_g628.t1, bc2001_g12086.t1, bc2001_g1096.t1, bc2001_g1096.t2, bc2001_g15504.t1, bc2001_g12826.t2, bc2001_g12826.t1, bc2001_g12460.t1, bc2001_g12479.t1, bc2001_g4441.t1, bc2001_g19584.t1, bc2001_g19617.t1, bc2001_g12197.t1, bc2001_g17070.t1, bc2001_g9555.t1, bc2001_g141.t1, bc2001_g10586.t2, bc2001_g10586.t1, bc2001_g6449.t2, bc2001_g6449.t1, bc2001_g18888.t1, bc2001_g16260.t1, bc2001_g11904.t1, bc2001_g1806.t1, bc2001_g13305.t1, bc2001_g4485.t2, bc2001_g4485.t1, bc2001_g3989.t1, bc2001_g12744.t1, bc2001_g7657.t1, bc2001_g17710.t1, bc2001_g12373.t1, bc2001_g687.t1	vverm_g2611.t2
OG0000001	bc2001_g7522.t1, bc2001_g17936.t1, bc2001_g1575.t1	vverm_g1112.t1, vverm_g1338.t1
OG0000003	bc2001_g7453.t2, bc2001_g7453.t1	vverm_g15420.t1
OG0000003	bc2001_g705.t1, bc2001_g4942.t1, bc2001_g6841.t1, bc2001_g13300.t1, bc2001_g7804.t1, bc2001_g1568.t1, bc2001_g18927.t1, bc2001_g13621.t3, bc2001_g13621.t2, bc2001_g13621.t4, bc2001_g13621.t1, bc2001_g15322.t1, bc2001_g9468.t1, bc2001_g9468.t2, bc2001_g3150.t1, bc2001_g13640.t1, bc2001_g741.t1, bc2001_g17425.t2, bc2001_g17425.t1, bc2001_g6401.t1, bc2001_g10730.t1, bc2001_g1528.t1, bc2001_g4187.t1, bc2001_g14194.t1, bc2001_g14194.t2, bc2001_g18697.t1, bc2001_g3458.t1, bc2001_g3768.t1, bc2001_g14971.t1, bc2001_g13055.t1, bc2001_g7309.t1, bc2001_g12524.t1, bc2001_g17576.t1, bc2001_g3519.t1, bc2001_g13055.t2, bc2001_g9957.t1, bc2001_g16451.t1, bc2001_g19026.t1, bc2001_g17672.t1, bc2001_g17981.t1, bc2001_g1489.t1, bc2001_g19615.t1, bc2001_g4724.t1, bc2001_g18738.t1, bc2001_g13039.t1, bc2001_g8798.t1, bc2001_g9479.t1, bc2001_g14971.t3, bc2001_g14971.t2, bc2001_g6213.t1, bc2001_g3768.t2, bc2001_g13176.t1, bc2001_g17267.t1, bc2001_g6472.t1, bc2001_g6583.t1, bc2001_g7918.t1, bc2001_g1489.t2, bc2001_g9773.t1, bc2001_g9773.t2, bc2001_g10699.t1, bc2001_g634.t1, bc2001_g11118.t1, bc2001_g9572.t1, bc2001_g9572.t2, bc2001_g397.t1, bc2001_g1898.t1, bc2001_g2442.t1, bc2001_g6328.t1, bc2001_g14867.t1, bc2001_g11965.t1, bc2001_g14187.t1, bc2001_g4658.t1, bc2001_g9184.t1, bc2001_g16023.t1, bc2001_g917.t1, bc2001_g19493.t1, bc2001_g19212.t3, bc2001_g19212.t2	vverm_g1517.t1
OG0000008	bc2001_g11178.t1, bc2001_g266.t1, bc2001_g18510.t1, bc2001_g14675.t1, bc2001_g18014.t1, bc2001_g13720.t1, bc2001_g13705.t1, bc2001_g2724.t1, bc2001_g1520.t1, bc2001_g17084.t1, bc2001_g4635.t1, bc2001_g15978.t1, bc2001_g15978.t2, bc2001_g6060.t1, bc2001_g6908.t1, bc2001_g10543.t1, bc2001_g3202.t1, bc2001_g10453.t1, bc2001_g2626.t1, bc2001_g3127.t1, bc2001_g8237.t1, bc2001_g8167.t1, bc2001_g328.t1, bc2001_g5572.t1, bc2001_g4895.t1, bc2001_g11906.t1, bc2001_g1258.t1, bc2001_g2439.t1, bc2001_g19348.t1, bc2001_g13861.t1, bc2001_g10117.t1, bc2001_g14929.t1, bc2001_g14929.t2, bc2001_g3470.t1, bc2001_g7441.t1, bc2001_g6416.t1, bc2001_g3539.t1, bc2001_g3544.t1, bc2001_g3544.t2, bc2001_g3533.t1, bc2001_g8289.t1, bc2001_g10783.t2, bc2001_g8268.t1, bc2001_g15396.t1, bc2001_g7197.t1, bc2001_g16005.t1, bc2001_g11066.t1, bc2001_g13581.t1, bc2001_g3428.t2, bc2001_g3416.t1, bc2001_g3428.t1, bc2001_g17880.t1, bc2001_g391.t1, bc2001_g18918.t1, bc2001_g1829.t1, bc2001_g9318.t1, bc2001_g6165.t1, bc2001_g5624.t1, bc2001_g2274.t1, bc2001_g3525.t1	vverm_g1762.t1
OG0000012	bc2001_g14176.t2, bc2001_g14176.t1	vverm_g12773.t1
OG0000012	bc2001_g3213.t1	vverm_g6937.t1, vverm_g16860.t1
