Orthogroup	acastellanii_braker	bc2001_braker
OG0000001	acastellanii_g3331.t1	bc2001_g9852.t1, bc2001_g4373.t1, bc2001_g14221.t1, bc2001_g4259.t1, bc2001_g2943.t2, bc2001_g2943.t1, bc2001_g3626.t1, bc2001_g3626.t2, bc2001_g5150.t1, bc2001_g5146.t1, bc2001_g644.t1, bc2001_g15028.t1, bc2001_g6151.t1, bc2001_g3294.t1, bc2001_g6476.t1, bc2001_g11238.t1, bc2001_g13252.t1, bc2001_g9420.t1, bc2001_g7492.t1, bc2001_g5789.t2, bc2001_g5789.t1, bc2001_g18980.t1, bc2001_g19407.t1, bc2001_g19407.t2, bc2001_g1700.t1, bc2001_g5670.t1, bc2001_g5992.t1, bc2001_g11028.t1, bc2001_g17654.t1, bc2001_g17737.t1, bc2001_g10597.t1, bc2001_g6026.t2, bc2001_g16346.t1, bc2001_g13068.t1, bc2001_g5100.t1, bc2001_g4973.t1, bc2001_g10657.t1, bc2001_g10569.t1, bc2001_g4958.t1, bc2001_g9238.t1, bc2001_g10134.t2, bc2001_g8326.t1, bc2001_g1908.t1, bc2001_g8837.t1, bc2001_g8522.t1, bc2001_g543.t2, bc2001_g5675.t1, bc2001_g19682.t1, bc2001_g19682.t2, bc2001_g19539.t1, bc2001_g19539.t2, bc2001_g10665.t1, bc2001_g628.t1, bc2001_g12086.t1, bc2001_g1096.t1, bc2001_g1096.t2, bc2001_g15504.t1, bc2001_g12826.t2, bc2001_g12826.t1, bc2001_g12460.t1, bc2001_g12479.t1, bc2001_g4441.t1, bc2001_g19584.t1, bc2001_g19617.t1, bc2001_g12197.t1, bc2001_g17070.t1, bc2001_g9555.t1, bc2001_g141.t1, bc2001_g10586.t2, bc2001_g10586.t1, bc2001_g6449.t2, bc2001_g6449.t1, bc2001_g18888.t1, bc2001_g16260.t1, bc2001_g11904.t1, bc2001_g1806.t1, bc2001_g13305.t1, bc2001_g4485.t2, bc2001_g4485.t1, bc2001_g3989.t1, bc2001_g12744.t1, bc2001_g7657.t1, bc2001_g17710.t1, bc2001_g12373.t1, bc2001_g687.t1, bc2001_g7522.t1, bc2001_g17936.t1, bc2001_g1575.t1
OG0000003	acastellanii_g6152.t1	bc2001_g7453.t2, bc2001_g7453.t1
OG0000008	acastellanii_g7762.t1	bc2001_g11178.t1, bc2001_g266.t1, bc2001_g18510.t1, bc2001_g14675.t1, bc2001_g18014.t1, bc2001_g13720.t1, bc2001_g13705.t1, bc2001_g2724.t1, bc2001_g1520.t1, bc2001_g17084.t1, bc2001_g4635.t1, bc2001_g15978.t1, bc2001_g15978.t2, bc2001_g6060.t1, bc2001_g6908.t1, bc2001_g10543.t1, bc2001_g3202.t1, bc2001_g10453.t1, bc2001_g2626.t1, bc2001_g3127.t1, bc2001_g8237.t1, bc2001_g8167.t1, bc2001_g328.t1, bc2001_g5572.t1, bc2001_g4895.t1, bc2001_g11906.t1, bc2001_g1258.t1, bc2001_g2439.t1, bc2001_g19348.t1, bc2001_g13861.t1, bc2001_g10117.t1, bc2001_g14929.t1, bc2001_g14929.t2, bc2001_g3470.t1, bc2001_g7441.t1, bc2001_g6416.t1, bc2001_g3539.t1, bc2001_g3544.t1, bc2001_g3544.t2, bc2001_g3533.t1, bc2001_g8289.t1, bc2001_g10783.t2, bc2001_g8268.t1, bc2001_g15396.t1, bc2001_g7197.t1, bc2001_g16005.t1, bc2001_g11066.t1, bc2001_g13581.t1, bc2001_g3428.t2, bc2001_g3416.t1, bc2001_g3428.t1, bc2001_g17880.t1, bc2001_g391.t1, bc2001_g18918.t1, bc2001_g1829.t1, bc2001_g9318.t1, bc2001_g6165.t1, bc2001_g5624.t1, bc2001_g2274.t1, bc2001_g3525.t1
OG0000012	acastellanii_g11603.t1	bc2001_g14176.t2, bc2001_g14176.t1
OG0000012	acastellanii_g8418.t1	bc2001_g3213.t1
OG0000012	acastellanii_g12458.t1, acastellanii_g13286.t1	bc2001_g8222.t1
OG0000012	acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1	bc2001_g14259.t1
OG0000020	acastellanii_g2918.t1, acastellanii_g13261.t1	bc2001_g2496.t2, bc2001_g2496.t1
OG0000020	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1	bc2001_g528.t1, bc2001_g18812.t2, bc2001_g18812.t1, bc2001_g15557.t1
OG0000043	acastellanii_g5071.t1	bc2001_g2484.t1, bc2001_g19025.t1, bc2001_g15542.t1, bc2001_g19187.t1, bc2001_g4903.t1, bc2001_g14447.t1, bc2001_g14447.t2, bc2001_g17151.t1, bc2001_g5610.t1, bc2001_g6279.t1, bc2001_g16471.t1, bc2001_g1318.t1, bc2001_g12686.t1, bc2001_g13442.t1, bc2001_g838.t1, bc2001_g2649.t1, bc2001_g494.t1, bc2001_g7511.t1, bc2001_g8963.t1, bc2001_g5011.t1, bc2001_g14883.t1, bc2001_g5124.t1, bc2001_g16406.t1, bc2001_g13358.t1, bc2001_g19368.t1
OG0000062	acastellanii_g5746.t1	bc2001_g9812.t1, bc2001_g10226.t1, bc2001_g10975.t1, bc2001_g149.t1, bc2001_g4246.t1, bc2001_g15908.t1, bc2001_g12202.t1, bc2001_g12355.t1, bc2001_g18773.t2, bc2001_g9566.t1, bc2001_g2862.t1, bc2001_g18383.t1, bc2001_g79.t1, bc2001_g14385.t1, bc2001_g5228.t1, bc2001_g3687.t1, bc2001_g14332.t1, bc2001_g5480.t1, bc2001_g13912.t1
OG0000082	acastellanii_g4310.t1	bc2001_g8406.t2, bc2001_g1436.t1, bc2001_g19293.t1, bc2001_g8406.t1, bc2001_g4769.t1, bc2001_g12907.t1, bc2001_g17819.t1, bc2001_g13589.t1, bc2001_g4645.t1, bc2001_g1435.t1, bc2001_g14153.t1, bc2001_g17785.t1, bc2001_g12269.t2, bc2001_g18707.t1, bc2001_g18039.t1, bc2001_g18039.t2, bc2001_g1143.t1, bc2001_g12269.t1
OG0000085	acastellanii_g1238.t1, acastellanii_g2499.t1, acastellanii_g11086.t1	bc2001_g11370.t1, bc2001_g18939.t1, bc2001_g18818.t2, bc2001_g18818.t1, bc2001_g12127.t1
OG0000091	acastellanii_g4765.t1	bc2001_g3105.t1, bc2001_g3105.t2
OG0000091	acastellanii_g7496.t1	bc2001_g9107.t1
OG0000091	acastellanii_g1337.t1	bc2001_g11559.t2, bc2001_g11559.t1
OG0000091	acastellanii_g7077.t1	bc2001_g10508.t1
OG0000091	acastellanii_g9199.t1, acastellanii_g10866.t1	bc2001_g11452.t2, bc2001_g11452.t1
OG0000092	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1	bc2001_g8482.t1, bc2001_g8482.t2, bc2001_g6775.t1, bc2001_g6775.t2, bc2001_g9815.t1, bc2001_g5566.t1
OG0000093	acastellanii_g6680.t1	bc2001_g11460.t1, bc2001_g16294.t1, bc2001_g3537.t1, bc2001_g18808.t1, bc2001_g14014.t2, bc2001_g14014.t1, bc2001_g7968.t1, bc2001_g17446.t1, bc2001_g1881.t1, bc2001_g13600.t2, bc2001_g11130.t1, bc2001_g9047.t1, bc2001_g4301.t1, bc2001_g19462.t1, bc2001_g1110.t1, bc2001_g16352.t1, bc2001_g5593.t1
OG0000099	acastellanii_g5646.t1	bc2001_g19159.t1
OG0000099	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1	bc2001_g6911.t2
OG0000107	acastellanii_g2122.t1	bc2001_g13230.t2, bc2001_g13230.t1
OG0000107	acastellanii_g6136.t1	bc2001_g10268.t3, bc2001_g10268.t1
OG0000107	acastellanii_g1565.t1, acastellanii_g357.t1	bc2001_g13247.t1, bc2001_g8434.t1, bc2001_g10017.t1
OG0000117	acastellanii_g14219.t1, acastellanii_g14219.t2	bc2001_g771.t1
OG0000118	acastellanii_g372.t1	bc2001_g3628.t1, bc2001_g16454.t1, bc2001_g1522.t1, bc2001_g7736.t1, bc2001_g2799.t2, bc2001_g2799.t1, bc2001_g11314.t1, bc2001_g4116.t1, bc2001_g9955.t1, bc2001_g768.t1, bc2001_g15912.t1, bc2001_g11383.t2, bc2001_g11383.t1, bc2001_g12342.t1
OG0000123	acastellanii_g9182.t1	bc2001_g8496.t1
OG0000123	acastellanii_g11358.t1	bc2001_g3189.t1
OG0000123	acastellanii_g13234.t1	bc2001_g15665.t1
OG0000123	acastellanii_g953.t1	bc2001_g4432.t1
OG0000124	acastellanii_g5054.t2, acastellanii_g4361.t1, acastellanii_g5054.t1	bc2001_g12016.t1, bc2001_g12045.t1
OG0000124	acastellanii_g11567.t1	bc2001_g17644.t1
OG0000124	acastellanii_g11844.t1, acastellanii_g11844.t2	bc2001_g11478.t1
OG0000124	acastellanii_g5449.t2, acastellanii_g5449.t1	bc2001_g3022.t1
OG0000125	acastellanii_g11868.t1	bc2001_g8920.t2, bc2001_g8920.t1
OG0000126	acastellanii_g3820.t1, acastellanii_g3778.t1	bc2001_g16015.t1, bc2001_g4551.t2, bc2001_g4551.t1, bc2001_g11216.t3, bc2001_g11216.t1, bc2001_g11216.t2
OG0000127	acastellanii_g3489.t1	bc2001_g19114.t2, bc2001_g19114.t1
OG0000127	acastellanii_g1391.t1, acastellanii_g589.t1	bc2001_g11031.t1, bc2001_g11031.t2, bc2001_g3717.t1
OG0000147	acastellanii_g5769.t1, acastellanii_g5769.t2	bc2001_g9271.t1
OG0000147	acastellanii_g5643.t2, acastellanii_g5643.t1	bc2001_g11480.t1, bc2001_g11480.t2
OG0000153	acastellanii_g5416.t1, acastellanii_g5536.t1, acastellanii_g5536.t2, acastellanii_g788.t1, acastellanii_g776.t1, acastellanii_g3102.t1	bc2001_g9617.t1, bc2001_g505.t1
OG0000160	acastellanii_g4300.t2, acastellanii_g4300.t1, acastellanii_g7628.t1	bc2001_g14819.t1
OG0000160	acastellanii_g2497.t1, acastellanii_g1235.t1	bc2001_g94.t2, bc2001_g94.t1
OG0000161	acastellanii_g9623.t1, acastellanii_g5929.t1, acastellanii_g10722.t1, acastellanii_g3422.t1, acastellanii_g1983.t2, acastellanii_g1983.t1, acastellanii_g12181.t1	bc2001_g11632.t2, bc2001_g8584.t1, bc2001_g8597.t1, bc2001_g16501.t1, bc2001_g6389.t1
OG0000162	acastellanii_g5170.t1	bc2001_g9622.t1, bc2001_g64.t1
OG0000162	acastellanii_g6076.t1	bc2001_g14770.t1, bc2001_g14681.t1, bc2001_g13895.t2, bc2001_g13895.t1
OG0000171	acastellanii_g14034.t1	bc2001_g3964.t2
OG0000171	acastellanii_g6384.t1, acastellanii_g604.t1	bc2001_g9380.t2, bc2001_g9380.t1
OG0000171	acastellanii_g11241.t2, acastellanii_g11241.t1	bc2001_g16880.t1
OG0000181	acastellanii_g9394.t1, acastellanii_g9394.t2, acastellanii_g14187.t2, acastellanii_g14187.t1, acastellanii_g12699.t1, acastellanii_g12694.t1, acastellanii_g669.t1	bc2001_g5099.t1, bc2001_g6172.t1, bc2001_g1578.t2, bc2001_g19327.t1, bc2001_g16682.t1, bc2001_g13129.t1
OG0000182	acastellanii_g710.t1, acastellanii_g5721.t2, acastellanii_g5721.t1, acastellanii_g5725.t1, acastellanii_g5724.t1, acastellanii_g13084.t1	bc2001_g10190.t1, bc2001_g10201.t1, bc2001_g19716.t1
OG0000182	acastellanii_g13427.t1, acastellanii_g979.t1, acastellanii_g11098.t1	bc2001_g2930.t1
OG0000191	acastellanii_g10978.t1, acastellanii_g10978.t2, acastellanii_g6154.t1	bc2001_g14262.t1, bc2001_g16253.t1
OG0000192	acastellanii_g9639.t1, acastellanii_g9639.t2, acastellanii_g2536.t1, acastellanii_g2704.t1, acastellanii_g3188.t1, acastellanii_g14032.t1, acastellanii_g3968.t1	bc2001_g16930.t1, bc2001_g4862.t1, bc2001_g17811.t1, bc2001_g5239.t1, bc2001_g5239.t2
OG0000193	acastellanii_g13271.t1	bc2001_g17062.t1
OG0000194	acastellanii_g5200.t1	bc2001_g18015.t2, bc2001_g18015.t3, bc2001_g18015.t1, bc2001_g2791.t1, bc2001_g2952.t1, bc2001_g14776.t1, bc2001_g6738.t1, bc2001_g8060.t1, bc2001_g14509.t1, bc2001_g16934.t3, bc2001_g16934.t2, bc2001_g16934.t1
OG0000195	acastellanii_g4908.t1	bc2001_g11678.t1, bc2001_g7493.t1
OG0000206	acastellanii_g9263.t1, acastellanii_g6455.t1, acastellanii_g4515.t1, acastellanii_g5986.t1, acastellanii_g5508.t1, acastellanii_g9262.t1	bc2001_g13743.t1
OG0000223	acastellanii_g10807.t1	bc2001_g18654.t1
OG0000223	acastellanii_g7378.t1, acastellanii_g13174.t1, acastellanii_g9591.t1	bc2001_g19537.t1, bc2001_g19526.t1
OG0000224	acastellanii_g2119.t1, acastellanii_g12413.t1, acastellanii_g12412.t1, acastellanii_g12724.t1, acastellanii_g12431.t1, acastellanii_g9528.t1, acastellanii_g7302.t1, acastellanii_g1709.t1, acastellanii_g7213.t1, acastellanii_g3000.t1	bc2001_g3069.t1, bc2001_g322.t1, bc2001_g17511.t1
OG0000226	acastellanii_g10506.t1, acastellanii_g10506.t2	bc2001_g14369.t1, bc2001_g14369.t2, bc2001_g14369.t3
OG0000226	acastellanii_g12477.t1	bc2001_g897.t1, bc2001_g16917.t1
OG0000226	acastellanii_g3777.t1	bc2001_g17127.t1
OG0000227	acastellanii_g2323.t1, acastellanii_g6551.t2	bc2001_g14422.t1
OG0000227	acastellanii_g9824.t1, acastellanii_g10591.t1, acastellanii_g7092.t1	bc2001_g13233.t1
OG0000228	acastellanii_g5201.t1	bc2001_g8387.t1, bc2001_g4221.t1, bc2001_g18549.t1, bc2001_g2955.t1, bc2001_g14534.t1, bc2001_g12293.t1, bc2001_g6406.t1, bc2001_g2793.t1, bc2001_g8059.t1, bc2001_g6735.t1, bc2001_g8386.t1, bc2001_g18191.t2, bc2001_g18191.t1
OG0000229	acastellanii_g3986.t1, acastellanii_g3986.t2	bc2001_g12817.t3, bc2001_g12817.t1, bc2001_g12817.t2, bc2001_g7436.t1, bc2001_g7973.t2, bc2001_g7973.t1, bc2001_g2045.t1
OG0000230	acastellanii_g3924.t1	bc2001_g1580.t1, bc2001_g1580.t2, bc2001_g1580.t3, bc2001_g16805.t1, bc2001_g16805.t2, bc2001_g1808.t1, bc2001_g13447.t1, bc2001_g1323.t1, bc2001_g18201.t1, bc2001_g1808.t2
OG0000231	acastellanii_g3079.t2, acastellanii_g3079.t1, acastellanii_g3075.t1	bc2001_g5115.t1
OG0000232	acastellanii_g2850.t1	bc2001_g14139.t1, bc2001_g14139.t2, bc2001_g14139.t3, bc2001_g16971.t2, bc2001_g16971.t1, bc2001_g16913.t1
OG0000248	acastellanii_g12983.t1	bc2001_g15762.t1, bc2001_g2123.t1, bc2001_g11570.t1, bc2001_g15724.t1, bc2001_g15615.t1, bc2001_g11357.t1
OG0000250	acastellanii_g7819.t1, acastellanii_g5723.t1, acastellanii_g5719.t1, acastellanii_g6840.t1, acastellanii_g12558.t1, acastellanii_g9806.t1, acastellanii_g9807.t1	bc2001_g8474.t1, bc2001_g2206.t1, bc2001_g17231.t2, bc2001_g17231.t1
OG0000252	acastellanii_g4789.t1	bc2001_g7772.t1
OG0000252	acastellanii_g11673.t1, acastellanii_g7450.t1	bc2001_g12892.t1, bc2001_g16723.t2, bc2001_g16723.t1
OG0000254	acastellanii_g11138.t1	bc2001_g607.t3, bc2001_g607.t2, bc2001_g607.t1
